case_id,client_ref,district,intake_date,closure_date,status,category,priority,caseworker_id,contact_count
CC-2023-21985,Stephanie Grady,Ash Hill,2023-04-20,2023-07-17,Closed,appeals,,W194,4
CC-2023-10494,Timothy Alvarez,Weybridge,2023-04-14,2023-05-04,Closed,Standard,,W185,2
CC-2024-19806,Patricia Danvers,Northgate,2024-05-10,2024-05-19,Closed,Expedited,Medium,W184,1
CC-2023-10907,Kenneth Delgado,Weybridge,"March 29, 2023","May 18, 2023",Closed,appeal,,W201,4
CC-2024-23300,Ashley Zamora,Calder Central,"April 24, 2024","July 1, 2024",Closed,Complex,Medium,W219,4
CC-2025-13518,Richard Okonkwo,Calder Central,2025-12-28,,Open,std,High,W109,2
CC-2023-21904,Richard Rasmussen,Ash Hill,02/09/2023,03/04/2023,Closed,Standard,,W212,3
CC-2023-17025,Betty Quill,Calder Central,2023-06-30,2023-07-10,Closed,Expedited,,W175,2
CC-2025-14946,Sandra Grady,Northgate,2025-03-25,2025-04-20,Closed,Standard,Medium,W245,6
CC-2024-17144,Jeffrey Okonkwo,Calder Central,"September 18, 2024","February 16, 2025",Closed,Complex,Low,W124,1
CC-2025-16722,David Danvers,Northgate,2025-10-27,2025-11-08,Closed,Review,Low,W220,7
CC-2023-15042,Nancy Eastwood,Weybridge,02/20/2023,03/04/2023,Closed,exp,,W234,0
CC-2025-11133,Ronald Kessler,Calder Central,2025-07-11,2025-09-10,Closed,Standard,Low,W166,5
CC-2024-21274,Emily Crowley,Northgate,08/14/2024,07/01/2024,Closed,Expedited,Low,W189,4
CC-2025-12731,Donna Hollis,Ash Hill,"March 30, 2025","May 10, 2025",Closed,Standard,Medium,W155,0
CC-2023-19095,Jeffrey Grady,Weybridge,"September 30, 2023","November 14, 2023",Closed,Standard,,W238,3
CC-2023-11287,Ashley Whitlock,Calder Central,2023-02-16,2023-03-03,Closed,Standard,,W141,3
